point,R_OO_A,source_CAS86_energy_zero_Eh,source_CAS86_alpha_energy_h_au,source_CAS86_alpha_energy_2h_au,source_CAS86_alpha_energy_five_au,source_CAS86_alpha_dipole_five_au,source_CAS86_field_step_relative_discrepancy,source_CAS86_energy_dipole_relative_discrepancy,parent_CASCI2816_energy_zero_Eh,parent_CASCI2816_alpha_energy_h_au,parent_CASCI2816_alpha_energy_2h_au,parent_CASCI2816_alpha_energy_five_au,parent_CASCI2816_alpha_dipole_five_au,parent_CASCI2816_field_step_relative_discrepancy,parent_CASCI2816_energy_dipole_relative_discrepancy,parent_minus_source_alpha_energy_five_au
009,1.7,-3804.9639419865566,108.62330964300781,108.62377894227393,108.62315320991911,108.62360857358529,4.320410049113015e-06,4.192124273503063e-06,-3804.96480793621,108.729800558649,108.73412611545064,108.72834354813676,108.70751641061342,3.9781041667077914e-05,0.00019155205389586544,0.10519033821765333
010,1.75,-3804.960292390576,108.37554873432964,108.3762945199851,108.37530013911115,108.37621581573369,6.881446341720742e-06,8.449055133066227e-06,-3804.96117460053,108.50468243006617,108.50918260985054,108.50318055114863,108.47502608556663,4.147280143610555e-05,0.0002594805556758177,0.12788041203748435
011,1.8,-3804.955619594876,108.51491242647171,108.51536353584379,108.51474750476578,108.5144771216638,4.157101422144397e-06,2.491671484241074e-06,-3804.956541095593,108.66703814826906,108.67725359275937,108.66363724441422,108.63364989806239,9.399800006534334e-05,0.0002759648683982595,0.148889739648439
