from,to,R_mid_A,delta_R_A,ground_state_overlap_amplitude,ground_state_overlap_amplitude_raw,Fubini_Study_angle_rad,g_RR_FS_per_A2,g_RR_chord_per_A2,FS_vs_chord_relative_difference,active_sigma_min,coreactive_sigma_min,overlap_excess_above_one
001,002,1.3250005916742134,0.049999812865391124,0.38624385712085185,0.38624385712085185,1.1742403787526114,551.5403153207521,491.008589684456,0.10975031916042888,0.9942078168849684,0.886239084227159,0.0
002,003,1.3750002651756095,0.0499995341374011,0.3978590101128692,0.3978590101128692,1.1616143047365293,539.7491750986944,481.7217685140869,0.10750809683775264,0.994574867329916,0.888147626996618,0.0
003,004,1.4250000602661042,0.05000005604358826,0.3863808496659585,0.3863808496659585,1.1740918560998048,551.3954385361042,490.8942198076752,0.10972382885330575,0.9948841266970604,0.8846687700547052,0.0
004,005,1.474999637285578,0.04999909799535951,0.3516817904916522,0.3516817904916522,1.2114292729101266,587.0455338261999,518.6732812661426,0.11646839745875576,0.9949523641921595,0.8730875282710179,0.0
005,006,1.5249995921867314,0.05000081180694749,0.2900856585937829,0.2900856585937829,1.276479982911519,651.7392950782025,567.9130315454818,0.1286193178250245,0.9938637231131604,0.8500295595056888,0.0
006,007,1.574999880030956,0.04999976388150129,0.19202568251107643,0.19202568251107643,1.377570499916193,759.0873622615464,646.3855589202343,0.14847013524970307,0.9915050755378537,0.8036384347085604,0.0
007,008,1.6250001302620394,0.050000736580665395,0.1209729932053854,0.1209729932053854,1.4495263108480092,840.4258484966381,703.200886716001,0.16328027276422588,0.9888782730143091,0.7571860053007518,0.0
008,009,1.6750002838462317,0.0499995705877192,0.06674810022723611,0.06674810022723611,1.5039985630325583,904.8202126113109,746.6143439778755,0.17484784980306015,0.9852167660055573,0.7002009063898776,0.0
009,010,1.7250003431240242,0.050000547967866016,0.04703864829676032,0.04703864829676032,1.5237403146481523,928.6934627150791,762.3523714869413,0.1791130205028383,0.9831779279922627,0.6719827369317761,0.0
010,011,1.7750003113453434,0.04999938847477248,0.04828821675049371,0.04828821675049371,1.5224893243027195,927.2121774531145,761.3880508057528,0.17884161864962866,0.9834044295178378,0.6757960620708487,0.0
011,012,1.8249996702603728,0.04999932935528628,0.06384852368921634,0.06384852368921634,1.5069043421530555,908.3286450286439,748.9412718540823,0.17547324313386084,0.985153944731656,0.701274655678099,0.0
012,013,1.8749992697190634,0.04999986956209512,0.09113133335004736,0.09113133335004736,1.4795383799524475,875.6180956465607,727.0987269643971,0.16961660502515793,0.9873292020471373,0.7348775918848726,0.0
013,014,1.924999542806039,0.0500006766118557,0.12914349492526161,0.12914349492526161,1.4412911338746546,830.9055648598724,696.6663490237675,0.16155772871583018,0.9894598338976436,0.7703451875105556,0.0
014,015,1.9750002029359486,0.050000643647963416,0.1648103370926969,0.1648103370926969,1.4052306110292199,789.8488925532896,668.1345284779821,0.1540982904740803,0.9907794362762881,0.7934642210919519,0.0
015,016,2.025000409834221,0.04999977014858148,0.22400059572731937,0.22400059572731937,1.344878873959416,723.486326007982,620.8052311235452,0.14192541198533162,0.9926092321036698,0.8279212276523792,0.0
016,017,2.0750002009611177,0.049999812105212094,0.2603813966151338,0.2603813966151338,1.3073791223278277,683.7012063455437,591.6993297883402,0.13456444965040132,0.9933926518443182,0.8432476171297186,0.0
017,018,2.1250001199210455,0.05000002581464402,0.3217267166469669,0.3217267166469669,1.243243726327178,618.2613468127269,542.6180663825929,0.1223483900782277,0.99461946718879,0.8686969735526782,0.0
018,019,2.17499989203315,0.049999518409564736,0.3542830125810566,0.3542830125810566,1.2086490890843964,584.3443047487285,516.5835411549278,0.11596033886723377,0.9950852977876854,0.8791508360263693,0.0
019,020,2.224999886735268,0.05000047099467064,0.41990495072443834,0.41990495072443834,1.137455738898872,517.5124733109935,464.06729645033266,0.10327321488257842,0.995906794549975,0.9001330063091977,0.0
020,021,2.2749998483112943,0.049999452157381885,0.44809616375619,0.44809616375619,1.1061617327911586,489.4482372020039,441.5327445602314,0.09789695620457807,0.9961531083586516,0.9076118250723592,0.0
021,022,2.325000080120719,0.05000101146146774,0.4768387910981615,0.4768387910981615,1.0737415447310008,461.14970435754117,418.51203459833533,0.09245949711408198,0.9963553447104151,0.9153869398762102,0.0
022,023,2.3750004584564355,0.049999745209964974,0.5135160334268319,0.5135160334268319,1.031518977791099,425.61689832400265,389.1911397293932,0.08558344073754365,0.9965453717646442,0.924679306526952,0.0
023,024,2.4250002507917605,0.049999839460685536,0.5493439448532315,0.5493439448532315,0.9892174258095653,391.42295975703087,360.5271592650179,0.0789320087692123,0.9966529618613054,0.9333730040753752,0.0
024,025,2.475000075657995,0.04999981027178313,0.5791378634419971,0.5791378634419971,0.9531255721818696,363.3821002870915,336.692264442473,0.07344840547603214,0.9967211874100763,0.9402433108236202,0.0
