lambda,field_au,alpha_iso_au,many_electron_overlap_abs,many_electron_fidelity,g_ff_au,delta_geom_hartree,closure_alpha_au,cross_core_determinant_abs,effective_active_min_sv,plus_recovery_energy_error_hartree,minus_recovery_energy_error_hartree
0.65,0.001,29.679616091016214,0.9999389054026377,0.9998778145378253,30.548231856592682,0.485782879846301,29.679616091016214,0.99989051550365,0.999864265897531,4.1961811803048477e-10,4.071694092999678e-10
0.675,0.001,27.325138717060327,0.9999579180164301,0.9999158378037535,21.041434520720877,0.6493173906501355,27.325138717060327,0.9999582917269265,0.9999643535597222,4.0472514228895307e-11,6.275513442233205e-11
0.7,0.001,26.74939435109991,0.9999626458809131,0.9999252931571564,18.677408384695557,0.7160895612535466,26.74939435109991,0.9999718068766936,0.999980703622251,1.9065282685915008e-10,1.949729266925715e-10
0.725,0.001,27.008205620404624,0.9999637964392176,0.999927594189133,18.1021080735611,0.7459961433953446,27.008205620404624,0.9999781108986004,0.9999868786465281,5.279616743791848e-10,5.055653673480265e-10
0.75,0.001,27.789176328951726,0.9999629319220983,0.999925865218239,18.53438246993694,0.7496655573506753,27.789176328951726,0.9999820822148192,0.9999895459254017,1.5870682545937598e-10,1.5910472939140163e-10
0.8,0.001,30.36379939658218,0.9999573264071868,0.9999146546354092,21.337251678418003,0.7115208615947072,30.363799396582177,0.9999871335579078,0.9999917054325596,2.7404212232795544e-10,2.737010618147906e-10
0.85,0.001,33.83674379620061,0.9999480521980632,0.9998961070947004,25.974575635316075,0.6513435343712567,33.83674379620061,0.999990592201667,0.9999924354900471,6.808704711147584e-10,5.599645191978198e-10
0.9,0.001,37.88902597534616,0.9999350965412954,0.9998701972950498,32.4527825126007,0.5837561996515196,37.88902597534616,0.9999927510297105,0.9999926776232131,2.0480683815549128e-09,2.0488073460001033e-09
0.95,0.001,42.30421234296955,0.9999186850336909,0.9998373766795055,40.659136275126215,0.5202300911744863,42.30421234296954,0.9999941642800927,0.999992774980171,2.1740333977504633e-09,2.1766481950180605e-09
1.0,0.001,46.988836743366846,0.9998983965166403,0.9997968033565483,50.80432267166643,0.4624491999139723,46.988836743366846,0.9999951445760478,0.9999926514093282,-4.3354475565138273e-10,-4.35534275311511e-10
