field_model,fields_au,degree_in_F_squared,R_alpha_min_Angstrom,R_g_min_Angstrom,R_Delta_max_Angstrom,R_Delta_min_Angstrom,R_g_max_Angstrom,R_alpha_max_Angstrom
all4_quadratic,1.0e-04 2.0e-04 4.0e-04 8.0e-04,2,1.7693226230462729,1.7983857171797561,1.8196070237858504,3.675031009645996,3.8131597273597753,4.013855375131156
all4_linear,1.0e-04 2.0e-04 4.0e-04 8.0e-04,1,1.7693203392069736,1.7987442817856283,1.8204407487677958,3.6714543534141213,3.8143950084350524,4.01278785842404
small3_quadratic,1.0e-04 2.0e-04 4.0e-04,2,1.7693282595186897,1.7990717880263432,1.8212985600792417,3.6810057390521513,3.8108910640579143,4.015200201613081
small3_linear,1.0e-04 2.0e-04 4.0e-04,1,1.7693222747323587,1.7984059118877165,1.8196519213904194,3.674549583450972,3.8133309487429266,4.013724617024946
large3_quadratic,2.0e-04 4.0e-04 8.0e-04,2,1.7693169941035387,1.7977181744969666,1.8179915069567458,3.6679894131042494,3.8156140171054536,4.012023192308647
small2_linear,1.0e-04 2.0e-04,1,1.7693275549800043,1.798992500191209,1.8211008949062708,3.6803012172362846,3.811167781272551,4.015049032841616
