R_Angstrom,alpha_perp_au,alpha_parallel_au,alpha_iso_au,g_perp_au,g_parallel_au,g_iso_au,Delta_perp_Eh,Delta_parallel_Eh,Delta_iso_Eh
0.5,3.200333615836924,3.8549817534100987,3.4185496616946494,2.390055067281938,3.001351354960409,2.593820496508095,0.6695104350621649,0.6422076753924316,0.6589796144908326
0.6,3.7615604600792367,4.8005864835714505,4.107902467909974,3.0157257833177438,4.093426644593188,3.374959403742892,0.6236575753815662,0.5863774901050586,0.6085854637768731
0.7,4.354306805877241,5.904918982864901,4.871177531539794,3.721416604286996,5.4970880139014,4.313307074158463,0.5850335059048708,0.5370951827524092,0.5646685301776447
0.74,4.597165800911284,6.390485048892973,5.194938883571847,4.022774316520833,6.1554860720015245,4.733678235014397,0.571392456945885,0.5190885800197284,0.5487211662535031
0.8,4.9645233320590645,7.163701538233831,5.6975827341173195,4.491348530933573,7.252991921990795,5.411896327952647,0.5526762505588869,0.4938445827103269,0.526394297751889
1.0,6.176721024591597,10.066811974535689,7.473418007906294,6.139075392200187,11.885323781202137,8.054491521867504,0.5030660669552324,0.42349759080427357,0.4639286035385581
1.25,7.533211507559919,13.960888365866568,9.6757704603288,8.150339523438198,19.35077994574518,11.883819664207193,0.4621409627105973,0.36073192928164804,0.40709850594044256
1.5,8.521532820768595,17.084702186685885,11.37592260940769,9.724575995539224,26.633481151183695,15.36087771408738,0.43814418359615476,0.3207373097362936,0.3702888214185473
1.55,8.663410362086397,17.502920408975065,11.609913711049288,9.959240750211947,27.769865473483012,15.896115657968968,0.4349433144239448,0.31514233343493,0.3651808391702617
1.6,8.786189289219003,17.833473803100883,11.801950793846297,10.164587110782525,28.736370375114564,16.35518153222654,0.432196074147403,0.3102944730024866,0.360801583601855
1.65,8.890283178237318,18.07208775215353,11.950884702876055,10.340654985744768,29.512937526576497,16.73141583268868,0.4298704091033461,0.30617229707953597,0.35713907365589603
1.7,8.97640417290013,18.21697054446754,12.0565929634226,10.488059709380968,30.085404500071082,17.02050797294434,0.42793445220717286,0.3027542897823511,0.35417841178969695
1.75,9.04553754931999,18.26893889233332,12.120004663657767,10.607954741843201,30.446289166493553,17.22073288339332,0.42635634151226914,0.30001913849715506,0.3519015347873376
1.8,9.098905923821125,18.231386163780613,12.14306600380762,10.701973389834011,30.595211802734845,17.333052860800958,0.42510411829580574,0.2979450882923933,0.3502864181320708
1.85,9.13792420119439,18.11009126177302,12.128646554720602,10.772151437955248,30.538767091583253,17.361023322497918,0.4241457360596175,0.2965098624882653,0.3493067870890782
1.9,9.164147026422912,17.912882524681905,12.080392192509242,10.820834191936171,30.289927737735102,17.310532040535815,0.4234491936514541,0.2956904136546699,0.34893185732884374
1.95,9.179211623523544,17.64918655228086,12.002536599775985,10.850574193914001,29.86711028546242,17.189419557763475,0.42298275922909634,0.29546190414128315,0.34912570955181343
2.0,9.184780450066654,17.329506538646093,11.899689146259801,10.864025816991074,29.29255936141064,17.006870331797597,0.4227153269325759,0.2958004851135609,0.34984947007007683
2.05,9.182486286412546,16.96487535079387,11.776615974539654,10.863844171655188,28.59134886169604,16.773012401668804,0.4226168077028633,0.29667847139457265,0.3510584650067974
2.1,9.17388453143388,16.56633528944123,11.638034784102997,10.852595548191632,27.78958974067425,16.49826027901917,0.42265854701286293,0.2980672878591278,0.35270490910193364
2.2,9.143370380356355,15.709089936402325,11.331943565705012,10.806294559865558,25.986764285835626,15.866451135188916,0.4230576137686788,0.3022517494601038,0.3571039128142781
2.3,9.10293392413713,14.83130644338952,11.012391430554594,10.741551184280928,24.070351807977232,15.18448472551303,0.4237252966526039,0.3080824609816095,0.36261985933745683
2.4,9.059668548892942,13.987635357452323,10.702324151746069,10.670348168047143,22.184926089168407,14.508540808420898,0.4245254421979661,0.31525088930275186,0.3688284126248704
2.5,9.018229113689893,13.212934079518158,10.416464102299315,10.601466693232648,20.426814264123653,13.876582550196318,0.4253293140772021,0.32342131055463963,0.37532526703240593
2.6,8.981268560009298,12.5251236985825,10.162553606200364,10.539433213719992,18.849379938890024,13.309415455443336,0.426079295626528,0.332242326781813,0.3817806138902984
2.7,8.94999138296715,11.929580198951264,9.943187654961855,10.486507098036622,17.473302357894767,12.81543885132267,0.42673844108887543,0.34136592942207217,0.38793785255101226
2.8,8.924642160681696,11.423483785919263,9.757589369094218,10.443338317942361,16.297424670343794,12.394700435409504,0.4272887600197993,0.35046898565226764,0.3936194109709373
2.9,8.904892433104898,10.99935259079526,9.603045819001686,10.40952971571269,15.307673088596566,12.042244173340649,0.42772789339672984,0.3592757869577583,0.39872326456646234
3.0,8.890115876337823,10.647569323908437,9.475933692194694,10.384120324621959,14.483796452998396,11.75067903408077,0.42806302307853283,0.36756831533987094,0.4032079195045419
