region,R_alpha_extremum_Angstrom,dalpha_perp_dR,dalpha_parallel_dR,dalpha_iso_dR,2dalpha_perp_plus_dalpha_parallel
minimum,1.7693226230462729,7.576963292116545,-15.15392658423282,-1.84297022087776e-14,2.7000623958883807e-13
maximum,4.013855375131131,22.09738949534264,-44.194778990686885,1.6375789613221059e-15,-1.6058265828178264e-12
