r_angstrom,alpha_parallel_au,alpha_perp_au,alpha_iso_au,gff_parallel_au,gff_perp_au,gff_iso_au,delta_eff_parallel_hartree,delta_eff_perp_hartree,delta_eff_iso_hartree,zero_energy_hartree,effective_unpaired_electrons
1.1,7.310705658320148,4.915560922273853,5.713942500955952,3.744667661263467,1.994651686553063,2.5779903447898644,0.9761487960527697,1.2321852871386239,1.108216427672793,-198.70777749603167,0.11123678346090417
1.2,8.598595880942698,5.073647740350576,6.248630453881283,5.163630406905573,2.058642905875374,3.093638739552107,0.8326114771347093,1.2322797037481263,1.0099159888956446,-198.78547896124059,0.1912036767973766
1.3,9.912741647719017,5.239912294021391,6.797522078587266,6.911181221273848,2.1517453842778145,3.7382239966098254,0.7171524903156808,1.2175958020655986,0.9091913813554112,-198.82075655075795,0.31055268273433195
1.4,10.88017947879111,5.402105595359393,7.228130223169965,8.375552467731257,2.2659085824597067,4.3024565442168905,0.6495201075218324,1.1920396165089893,0.8400003752374435,-198.83317979578885,0.47374585164035216
1.5,11.27236857516364,5.55164270665344,7.458551329490173,9.051664407474828,2.4111634133200264,4.62466374470496,0.6226682777730338,1.1512373396146476,0.8063885010050613,-198.83408034264932,0.6764160673074622
1.6,11.105032210705774,5.690729876818872,7.495497321447839,8.85556146998001,2.6130190904272004,4.693866550278137,0.627008928138062,1.088918542093104,0.7984352815701259,-198.8299548523355,0.9038295331575458
1.7,10.555348395074382,5.815686515472422,7.395573808673075,8.089220112777348,2.9023749404657315,4.6313233312362705,0.6524330063909162,1.0018840836841025,0.7984298741132078,-198.82432490086137,1.1344141591539667
1.8,9.834665055144706,5.924817462828798,7.228099993600767,7.09790824214958,3.2960569815612826,4.563340735090715,0.692786150484689,0.8987735187791444,0.7919746095244277,-198.8189061951445,1.347013457172261
1.9,9.104157245618687,6.017590340497791,7.046445975538089,6.136328325205094,3.859734933376332,4.618599397319252,0.741824488776389,0.7795341447493985,0.7628336395258721,-198.81441029234725,1.5271297027484199
2.0,8.452187040155621,6.094874874345535,6.880645596282231,5.321445386245908,4.703530728598574,4.909502281147685,0.794162715829199,0.6479042262110951,0.7007477746475103,-198.81098693067926,1.6692570837070744
2.1,7.91215213964589,6.158521985710603,6.743065370355699,4.665814543569253,5.867482593800082,5.466926577056472,0.8478854084064447,0.5248010443369743,0.616714462441741,-198.8085317905337,1.7751501476512355
2.2,7.482685847858734,6.211100425330441,6.6349622328398725,4.1646129356519275,7.712140474854467,6.529631295120287,0.8983651018083625,0.40268330469224556,0.508065611437992,-198.80684791361995,1.8505540666416957
2.3,7.151089836514449,6.254286376465062,6.553220863148191,3.788135085017298,10.509305884643721,8.26891561810158,0.9438799931921902,0.29755944137109347,0.3962563633375613,-198.80573087718435,1.902353484853129
2.4,6.897026625783326,6.290612153894932,6.492750311191063,3.5027765787792484,14.552151672749787,10.869026641426274,0.9845084992813053,0.21614027586293885,0.2986813136718497,-198.80500736955005,1.9369389654343943
2.5,6.702580295050829,6.322754176987558,6.449362883008649,3.2876960446533547,21.802789416208665,15.631091625690226,1.019343060309812,0.14499874434156315,0.20629918362223992,-198.80454721139324,1.9595497093098029
2.6,6.553431620200965,6.354167359063001,6.420588779442323,3.12413490602769,35.030465761752126,24.395022143177314,1.0488394095205056,0.09069487403163182,0.13159628922980918,-198.80426047279713,1.9741354114305674
2.7,6.443372468668858,6.550053639800894,6.514493249423548,2.996868278515861,62.75390110945838,42.83489016581087,1.0750176300474255,0.052188417962860785,0.07604190444059036,-198.80408796281094,1.9834917640491025
2.8,6.347907436958988,6.415126033018468,6.392719834331975,2.8990097817546863,3.025292859307757,2.9831985001234003,1.0948406378119884,1.060248764558676,1.0714539837137118,-198.80399108139483,1.989474214297447
3.0,6.217431942116052,6.3720160743384655,6.320488030264328,2.7528098604697426,2.9739948796023614,2.9002665398914886,1.129288301273213,1.0712890123049637,1.089639166492057,-198.80392879367213,1.9957641960850612
3.2,6.627303326163017,6.331087216259858,6.429825919560911,3.333513125807976,3.0125751771317306,3.1195544933571457,0.9940418825494639,1.050776635271834,1.0305679758524393,-198.80386361076035,2.000287221016399
3.5,6.050960605254453,6.312210237228078,6.2251270265702034,2.5984210595047927,3.009815610778933,2.872684093687553,1.1643533643480486,1.0486041428289512,1.0835035847222676,-198.80400137142462,1.9996557448054477
4.0,5.980296475536988,6.331303041241029,6.2143008526730155,2.5375544270363397,3.024721068933229,2.8623321883009325,1.17835826727892,1.046592875334779,1.0855310362075403,-198.8040749912621,1.9999961683753784
