region,R_stationary_Angstrom,dlng_dR_Angstrom-1,dlnDelta_dR_Angstrom-1,slope_sum_Angstrom-1,d2lnalpha_dR2_Angstrom-2,fit_window_min_Angstrom,fit_window_max_Angstrom,fit_points,polynomial_degree
minimum,1.7693167373273344,-0.11275811721501158,0.1127581172150332,2.1621593404574924e-14,1.614613748920482,1.6896,1.8395,7,2
maximum,4.013854893394307,-0.06808998819313163,0.06808998819313619,4.565792188770956e-15,-0.21054290993921118,3.9676,4.0676,3,2
