R_Angstrom,alpha_perp_au,alpha_parallel_au,alpha_iso_au,g_perp_au,g_parallel_au,g_iso_au,Delta_perp_Eh,Delta_parallel_Eh,Delta_iso_Eh
0.584615,7.001977632291474,7.499366730062068,7.167773998215005,4.344051365296999,4.934581168302561,4.54089463296552,0.805927122343402,0.7598787490045243,0.7892468970959089
0.676923,7.257355198457087,7.914053154757361,7.476254517223844,4.266740771228993,4.946076406025451,4.4931859828278125,0.8504565413715861,0.80003345127425,0.8319547138485708
0.7692309999999999,7.663198566692449,8.7661347980846,8.030843977156499,4.416939587713253,5.535003164641341,4.789627446689283,0.8674783087377311,0.7918816428222071,0.83835789594738
0.861538,8.160543751421935,9.9276293496252,8.749572284156356,4.7080778041141045,6.556101529267169,5.3240857124984595,0.866653450829862,0.7571290122115372,0.8216971661083947
0.953846,8.722840106953656,11.318133115246887,9.587937776384733,5.113968063415263,7.936802192150568,6.054912772993698,0.8528446011772978,0.7130159503307534,0.7917486292411294
1.046154,9.327647379346145,12.877751161729144,10.511015306807144,5.618398348609098,9.619741335028763,6.95217934408232,0.8300984373647443,0.6693397833285212,0.7559511044370638
1.138462,9.951355817684597,14.558263931658333,11.486991855675841,6.204253289345528,11.55018424679659,7.986230275162549,0.8019785261486593,0.630217822529369,0.7191748459470785
1.230769,10.56901026659476,16.31769238335955,12.48523763884969,6.846921608740648,13.679118893200537,9.124320703560612,0.7718074538127152,0.5964453014393554,0.6841735425836981
1.3230769999999998,11.15594896129816,18.11389240826442,13.475263443620245,7.522496512598406,15.952918882660336,10.33263730261905,0.7415057582688526,0.567729722112262,0.652072798500564
1.415385,11.689102103278834,19.894705837152237,14.424303347903303,8.211432358480288,18.31422572136343,11.579030146108002,0.711757802596219,0.5431489744593785,0.6228631917307715
1.507692,12.147848468420834,21.585357001896465,15.293684646246044,8.88260001215264,20.696129620662106,12.820443214989128,0.6838002641006505,0.5214829390212795,0.5964569395060112
1.6,12.515264516110848,23.07750772685166,16.036012253024452,9.52374656720414,23.05725353200197,14.034915555470084,0.6570557305256454,0.500439215252189,0.5712899443407924
1.692308,12.782965223815758,24.229861556948308,16.598597334859942,10.117659835100213,25.317201815786863,15.184173828662429,0.6317155069529548,0.47852566277366937,0.5465755833065996
1.784615,12.96084792051665,24.878454054149625,16.933383298394308,10.637092955818115,27.32022760372064,16.19813783845229,0.6092288548361102,0.45531198376183224,0.5226953699022316
1.876923,13.079827427810011,24.875678871123014,17.011777908914343,11.078797687099875,28.65322666131304,16.936940678504264,0.5903089756319013,0.4340816335479175,0.5022092900905374
1.969231,13.174471599263091,24.215595668092902,16.85484628887303,11.397355129626275,28.82733412371738,17.207348127656644,0.5779617924257436,0.42001101392462403,0.489757229406632
2.061538,13.2667871597726,23.112271604159364,16.54861530790152,11.671776977386196,27.88986842315099,17.077807459307795,0.5683276499146916,0.4143488820652555,0.4845064375896259
2.153846,13.360878692559986,21.860014542972472,16.193923976030813,11.888012236596254,26.36991698892986,16.715313820707454,0.5619475496260694,0.4144877390427385,0.4844038272248671
2.246154,13.456420884633898,20.674236007462493,15.862359258910097,12.0946565953958,24.69864740064028,16.295986863810626,0.5562961121920772,0.4185297209216109,0.48669526403879504
2.338462,13.549761471251845,19.64912689823943,15.582883280247707,12.28182503793591,23.16708223298418,15.910244102952,0.5516184048135987,0.424074268408819,0.4897122627224948
2.430769,13.6387550065188,18.802227544985808,15.359912519341137,12.439836999797834,21.84546627465542,15.575046758083696,0.5481886541897796,0.43034621711873683,0.49309362462649103
2.523077,13.722018209152669,18.11616057760072,15.186732331968685,12.602929167637718,20.74100984266424,15.315622725979892,0.5443979739403991,0.4367232047770353,0.49579219218450155
2.615385,13.7990604100777,17.564461703677306,15.054194174610904,12.75662332382484,19.828026704472173,15.113757784040617,0.5408586606263571,0.44292006374279486,0.4980294904059992
2.707692,13.869062047828294,17.119548694684752,14.952557596780446,12.892660122151534,19.083147927317444,14.956156057206838,0.5378665813116082,0.4485514853180536,0.49987969968979235
2.7999999999999994,13.932706407141874,16.760075403018018,14.875162739100588,13.01714761250529,18.43391660688255,14.82273727729771,0.5351674123199243,0.4545988722971769,0.5017684136479694
2.892308,13.990128501875336,16.467964932410776,14.816073978720482,13.132409694224334,17.933758866830097,14.732859418426253,0.5326565659929201,0.4591331090904088,0.5028241143803406
2.984615,14.041855147281822,16.229120821028197,14.770943705197281,13.233022222405006,17.50065682263717,14.65556708914906,0.5305611564494832,0.463671763451637,0.5039362726582463
3.0769229999999994,14.088252420031546,16.03246365888822,14.736322832983769,13.325223599356454,17.159885999329386,14.603444399347431,0.5286309950067909,0.46714948046609317,0.504549557967375
3.169231,14.129863182985346,15.86936766686778,14.709698010946157,13.406929302566915,16.854304852857247,14.556054485997025,0.5269612028266613,0.4707808422065389,0.5052776501041865
3.261538,14.167278108977325,15.733243529009789,14.68926658232148,13.480745850917728,16.58913097681862,14.516874226218027,0.5254634374704445,0.47420336698152443,0.505937654119511
3.353846,14.200534290075163,15.618220333300943,14.673096304483757,13.54868888523816,16.369934222699303,14.48910399772521,0.5240556636276155,0.47703980116315925,0.5063493334987255
3.446154,14.230479261811974,15.520559178759818,14.66050590079459,13.60856836175625,16.17752986708471,14.464888863532403,0.5228499752333781,0.47969496289845875,0.5067617884626601
3.538462,14.25739562361312,15.436733847846224,14.650508365024153,13.662480518590742,16.006275417904664,14.443745485028716,0.5217718555650589,0.482208803885089,0.5071575229641699
3.630769,14.28163079155966,15.364032274965846,14.642431286028389,13.709887857749065,15.854481843784956,14.424752519761029,0.5208514810530502,0.484532778376123,0.5075453206552124
3.723077,14.303576075115467,15.300367895952782,14.635840015394573,13.75382715789225,15.72293166762596,14.410195327803487,0.5199853070317144,0.48656218253039757,0.5078293417423607
3.815385,14.323354103140677,15.24399689271958,14.63023503300031,13.792812541810656,15.610924371238202,14.398849818286505,0.5192325372262463,0.4882477337730668,0.508034850617719
3.907692,14.341282579266595,15.193655015761154,14.625406724764781,13.828215101301812,15.512944256489066,14.38979148636423,0.5185514715459004,0.4897089412735318,0.508186888553035
4.0,14.357594287951589,15.148375900114132,14.621188158672437,13.860185839507396,15.419990360161552,14.380120679725449,0.5179437871253634,0.4911927811333413,0.5083819699540794
